Date,DIA
2024-04-19,372.02716064453125
2024-04-22,374.54461669921875
2024-04-23,377.1403503417969
2024-04-24,376.5722351074219
2024-04-25,373.1243591308594
2024-04-26,374.4858093261719
2024-04-29,375.9454040527344
2024-04-30,370.39141845703125
2024-05-01,371.1358337402344
2024-05-02,374.4074401855469
2024-05-03,378.85455322265625
2024-05-06,380.5002136230469
2024-05-07,380.78424072265625
2024-05-08,382.48870849609375
2024-05-09,385.93658447265625
2024-05-10,387.0924072265625
2024-05-13,386.38714599609375
2024-05-14,387.4842529296875
2024-05-15,391.1084899902344
2024-05-16,391.03997802734375
2024-05-17,392.3486022949219
2024-05-20,390.5337829589844
2024-05-21,391.2008056640625
2024-05-22,389.1211242675781
2024-05-23,383.235107421875
2024-05-24,383.2155456542969
2024-05-28,381.21435546875
2024-05-29,377.2707214355469
2024-05-30,374.2296447753906
2024-05-31,380.1646728515625
2024-06-03,378.899169921875
2024-06-04,380.1450500488281
2024-06-05,381.1456298828125
2024-06-06,381.9304504394531
2024-06-07,381.10638427734375
2024-06-10,381.8912353515625
2024-06-11,380.59625244140625
2024-06-12,380.32159423828125
2024-06-13,379.5270080566406
2024-06-14,379.1149597167969
2024-06-17,381.1947326660156
2024-06-18,381.74407958984375
2024-06-20,384.61834716796875
2024-06-21,384.7599182128906
2024-06-24,387.3555908203125
2024-06-25,384.4453125
2024-06-26,384.6616516113281
2024-06-27,384.97625732421875
2024-06-28,384.5534973144531
2024-07-01,384.8779602050781
2024-07-02,386.6771240234375
2024-07-03,386.2248840332031
2024-07-05,387.08026123046875
2024-07-08,386.8442687988281
2024-07-09,386.33306884765625
2024-07-10,390.5804443359375
2024-07-11,390.9441833496094
2024-07-12,393.5889587402344
2024-07-15,395.5946350097656
2024-07-16,402.7719421386719
2024-07-17,405.0037536621094
2024-07-18,399.8813781738281
2024-07-19,396.36383056640625
2024-07-22,397.544189453125
2024-07-23,396.8949890136719
2024-07-24,392.1537780761719
2024-07-25,392.9603576660156
2024-07-26,399.3344421386719
2024-07-29,398.8819580078125
2024-07-30,400.75091552734375
2024-07-31,401.8132629394531
2024-08-01,396.63922119140625
2024-08-02,390.638916015625
2024-08-05,380.4876708984375
2024-08-06,383.5861511230469
2024-08-07,381.43194580078125
2024-08-08,388.07159423828125
2024-08-09,388.6912841796875
2024-08-12,387.3338623046875
2024-08-13,391.2882080078125
2024-08-14,393.5505676269531
2024-08-15,399.2459411621094
2024-08-16,400.4143981933594
2024-08-19,402.7475891113281
2024-08-20,402.2061462402344
2024-08-21,402.6294250488281
2024-08-22,401.1429748535156
2024-08-23,405.4253234863281
2024-08-26,406.30145263671875
2024-08-27,406.4688720703125
2024-08-28,404.94293212890625
2024-08-29,407.4730224609375
2024-08-30,409.73724365234375
2024-09-03,403.8698425292969
2024-09-04,404.03729248046875
2024-09-05,402.1076965332031
2024-09-06,398.1797790527344
2024-09-09,402.68853759765625
2024-09-10,401.9107971191406
2024-09-11,402.9051513671875
2024-09-12,405.5631103515625
2024-09-13,408.4869689941406
2024-09-16,410.8890075683594
2024-09-17,410.7709045410156
2024-09-18,409.717529296875
2024-09-19,414.85626220703125
2024-09-20,415.2591857910156
2024-09-23,415.7923278808594
2024-09-24,416.7995300292969
2024-09-25,413.8274841308594
2024-09-26,416.2959289550781
2024-09-27,417.6091003417969
2024-09-30,417.7769775390625
2024-10-01,416.1774597167969
2024-10-02,416.5822448730469
2024-10-03,414.6766662597656
2024-10-04,418.0633544921875
2024-10-07,414.311279296875
2024-10-08,415.48626708984375
2024-10-09,419.68255615234375
2024-10-10,419.2975769042969
2024-10-11,423.316162109375
2024-10-14,425.44891357421875
2024-10-15,422.14117431640625
2024-10-16,425.2810363769531
2024-10-17,426.9891052246094
2024-10-18,427.32403564453125
2024-10-21,424.09423828125
2024-10-22,424.034912109375
2024-10-23,419.9359130859375
2024-10-24,418.5728759765625
2024-10-25,415.96533203125
2024-10-28,418.8593444824219
2024-10-29,417.30865478515625
2024-10-30,416.56781005859375
2024-10-31,412.53790283203125
2024-11-01,415.2541809082031
2024-11-04,412.9132995605469
2024-11-05,417.11102294921875
2024-11-06,431.8576354980469
2024-11-07,432.0157165527344
2024-11-08,434.7021484375
2024-11-11,437.566650390625
2024-11-12,433.9910888671875
2024-11-13,434.4058837890625
2024-11-14,432.32183837890625
2024-11-15,429.4320068359375
2024-11-18,429.11578369140625
2024-11-19,427.78155517578125
2024-11-20,429.214599609375
2024-11-21,433.8398742675781
2024-11-22,437.98095703125
2024-11-25,442.3295593261719
2024-11-26,443.63409423828125
2024-11-27,442.50738525390625
2024-11-29,444.8299560546875
2024-12-02,443.4956970214844
2024-12-03,442.6556396484375
2024-12-04,445.66998291015625
2024-12-05,443.42657470703125
2024-12-06,441.92425537109375
2024-12-09,439.87841796875
2024-12-10,438.5047912597656
2024-12-11,437.33856201171875
2024-12-12,435.1246337890625
2024-12-13,434.2351989746094
2024-12-16,433.2469482421875
2024-12-17,430.47967529296875
2024-12-18,419.26226806640625
2024-12-19,419.5686340332031
2024-12-20,424.7554626464844
2024-12-23,425.1023254394531
2024-12-24,428.68048095703125
2024-12-26,429.3841857910156
2024-12-27,426.2025451660156
2024-12-30,422.0098876953125
2024-12-31,421.74224853515625
2025-01-02,420.0572509765625
2025-01-03,423.38763427734375
2025-01-06,423.35791015625
2025-01-07,421.5737609863281
2025-01-08,422.3666687011719
2025-01-10,415.6267395019531
2025-01-13,419.22467041015625
2025-01-14,421.3953552246094
2025-01-15,428.4227294921875
2025-01-16,427.74871826171875
