Date,SPY
2024-04-19,487.4958801269531
2024-04-22,491.9853210449219
2024-04-23,497.8235168457031
2024-04-24,497.5872497558594
2024-04-25,495.69696044921875
2024-04-26,500.39312744140625
2024-04-29,502.16522216796875
2024-04-30,494.2103271484375
2024-05-01,492.6055603027344
2024-05-02,497.21307373046875
2024-05-03,503.3762512207031
2024-05-06,508.574462890625
2024-05-07,509.1356201171875
2024-05-08,509.18487548828125
2024-05-09,512.1187133789062
2024-05-10,512.7784423828125
2024-05-13,512.8472900390625
2024-05-14,515.2003173828125
2024-05-15,521.5800170898438
2024-05-16,520.5068969726562
2024-05-17,521.255126953125
2024-05-20,521.8556518554688
2024-05-21,523.1356201171875
2024-05-22,521.6293334960938
2024-05-23,517.8192138671875
2024-05-24,521.2453002929688
2024-05-28,521.609619140625
2024-05-29,517.9569091796875
2024-05-30,514.52099609375
2024-05-31,519.2073364257812
2024-06-03,519.630615234375
2024-06-04,520.2114868164062
2024-06-05,526.3942260742188
2024-06-06,526.384521484375
2024-06-07,525.7445678710938
2024-06-10,527.3689575195312
2024-06-11,528.6390380859375
2024-06-12,532.9807739257812
2024-06-13,534.0538940429688
2024-06-14,534.37890625
2024-06-17,538.6318359375
2024-06-18,540.0004272460938
2024-06-20,538.5335083007812
2024-06-21,537.8114624023438
2024-06-24,536.063232421875
2024-06-25,538.1276245117188
2024-06-26,538.7991943359375
2024-06-27,539.6485595703125
2024-06-28,537.5250244140625
2024-07-01,538.6312866210938
2024-07-02,542.2561645507812
2024-07-03,544.676025390625
2024-07-05,547.81689453125
2024-07-08,548.4490356445312
2024-07-09,548.9822998046875
2024-07-10,554.4147338867188
2024-07-11,549.63427734375
2024-07-12,553.1010131835938
2024-07-15,554.6220703125
2024-07-16,557.9110717773438
2024-07-17,550.0885620117188
2024-07-18,545.8612060546875
2024-07-19,542.2363891601562
2024-07-22,547.8267822265625
2024-07-23,546.9674682617188
2024-07-24,534.57177734375
2024-07-25,531.7865600585938
2024-07-26,537.7423095703125
2024-07-29,538.0584106445312
2024-07-30,535.3323364257812
2024-07-31,544.0339965820312
2024-08-01,536.3298950195312
2024-08-02,526.3443603515625
2024-08-05,511.0152587890625
2024-08-06,515.7265625
2024-08-07,512.2794189453125
2024-08-08,524.1219482421875
2024-08-09,526.4331665039062
2024-08-12,526.7098388671875
2024-08-13,535.371826171875
2024-08-14,537.0609130859375
2024-08-15,546.2661743164062
2024-08-16,547.490966796875
2024-08-19,552.7257690429688
2024-08-20,551.8269653320312
2024-08-21,553.7232666015625
2024-08-22,549.37744140625
2024-08-23,555.2147216796875
2024-08-26,553.8912353515625
2024-08-27,554.6517944335938
2024-08-28,551.4318237304688
2024-08-29,551.481201171875
2024-08-30,556.74560546875
2024-09-03,545.288330078125
2024-09-04,544.1723022460938
2024-09-05,542.8487548828125
2024-09-06,533.7125244140625
2024-09-09,539.6880493164062
2024-09-10,542.038818359375
2024-09-11,547.5995483398438
2024-09-12,552.212158203125
2024-09-13,555.09619140625
2024-09-16,555.916015625
2024-09-17,556.1431884765625
2024-09-18,554.4937744140625
2024-09-19,563.9558715820312
2024-09-20,562.9810180664062
2024-09-23,564.3878173828125
2024-09-24,566.002685546875
2024-09-25,564.75439453125
2024-09-26,566.993408203125
2024-09-27,566.1710815429688
2024-09-30,568.4398803710938
2024-10-01,563.3475341796875
2024-10-02,563.5852661132812
2024-10-03,562.554931640625
2024-10-04,567.6671142578125
2024-10-07,562.5350952148438
