opening_strategy,symbol,strike_price,expiration_date,type,quantity,entry_price,exit_price,pnl,cumulative_pnl,collateral,roi
short_call,RGTI,12.5,2025-06-13,call,2.0,0.24,0.0,48.0,2159.0,2500.0,1.92
short_call,RGTI,12.5,2025-06-20,call,1.0,0.3,0.04,26.0,2185.0,1250.0,2.08
short_call,RGTI,12.0,2025-06-27,call,2.0,0.18,0.0,36.0,2221.0,2400.0,1.5
short_call,RGTI,12.0,2025-07-03,call,1.0,0.16,0.32,-16.0,2205.0,1200.0,-1.33
short_put,RGTI,14.5,2025-08-01,put,1.0,0.24,0.08,15.999999999999998,2221.0,1450.0,1.1
short_put,RGTI,15.0,2025-08-01,put,1.0,0.36,0.16,20.0,2241.0,1500.0,1.33
short_put,RILY,16.5,2024-07-05,put,1.0,0.35,0.0,35.0,2276.0,1650.0,2.12
short_call,RILY,16.0,2024-07-12,call,1.0,0.5,2.0,-150.0,2126.0,1600.0,-9.38
short_call,RILY,18.0,2024-07-26,call,1.0,0.1,0.0,10.0,2136.0,1800.0,0.56
short_put,RILY,15.5,2024-08-09,put,1.0,0.4,0.0,40.0,2176.0,1550.0,2.58
short_call,RILY,20.0,2024-08-09,call,1.0,1.5,0.7,80.0,2256.0,2000.0,4.0
short_put,RIVN,10.5,2024-04-19,put,1.0,0.64,0.49,15.000000000000002,2271.0,1050.0,1.43
short_put,RIVN,12.5,2024-09-13,put,1.0,0.17,0.0,17.0,2288.0,1250.0,1.36
short_put,RIVN,13.0,2025-07-03,put,1.0,0.19,0.09,10.0,2298.0,1300.0,0.77
short_put,SMCI,41.5,2025-06-20,put,1.0,0.72,0.09,63.0,2361.0,4150.0,1.52
short_put,SMCI,41.5,2025-06-27,put,1.0,0.7,0.11,59.0,2420.0,4150.0,1.42
short_put,SMCI,47.5,2025-07-03,put,1.0,0.62,0.03,59.0,2479.0,4750.0,1.24
short_put,SMCI,46.0,2025-07-18,put,1.0,0.7,0.35,35.0,2514.0,4600.0,0.76
short_put,SMCI,46.0,2025-07-25,put,1.0,0.89,0.31,58.00000000000001,2572.0,4600.0,1.26
short_put,SMCI,47.5,2025-08-01,put,1.0,0.98,0.35,63.0,2635.0,4750.0,1.33
short_put,SMCI,43.0,2025-08-15,put,1.0,1.19,0.44,75.0,2710.0,4300.0,1.74
short_put,SOFI,7.0,2024-05-03,put,1.0,0.36,0.0,36.0,2746.0,700.0,5.14
short_put,SOFI,15.0,2025-02-07,put,1.0,0.46,0.3,16.000000000000004,2762.0,1500.0,1.07
short_put,SOFI,13.5,2025-03-07,put,1.0,0.37,0.27,9.999999999999998,2772.0,1350.0,0.74
short_put,SOFI,13.5,2025-03-14,put,1.0,0.28,0.0,28.000000000000004,2800.0,1350.0,2.07
short_call,SOFI,13.0,2025-03-28,call,1.0,0.22,0.0,22.0,2822.0,1300.0,1.69
short_call,SOFI,13.5,2025-04-11,call,1.0,0.15,0.0,15.0,2837.0,1350.0,1.11
short_call,SOFI,15.0,2025-05-02,call,1.0,0.08,0.0,8.0,2845.0,1500.0,0.53
short_call,SOFI,13.5,2025-05-09,call,1.0,0.12,0.11,0.9999999999999996,2846.0,1350.0,0.07
short_put,SOFI,13.0,2025-06-13,put,1.0,0.22,0.1,12.0,2858.0,1300.0,0.92
short_put,SOFI,17.5,2025-07-18,put,1.0,0.35,0.08,26.999999999999996,2885.0,1750.0,1.54
short_put,SOFI,20.0,2025-07-25,put,2.0,0.29,0.11,36.0,2921.0,4000.0,0.9
short_put,SOFI,20.5,2025-08-15,put,1.0,0.36,0.2,15.999999999999998,2937.0,2050.0,0.78
long_call,GOOGL,130.0,2026-03-20,call,1.0,35.0,46.0,1100.0,4037.0,3500.0,31.43
long_call,NKLA,6.5,2024-08-30,call,1.0,0.07,0.0,-7.000000000000001,4030.0,7.000000000000001,-100.0
long_call,QQQ,452.0,2024-05-30,call,1.0,6.44,8.0,155.99999999999997,4186.0,644.0,24.22
long_call,QQQ,453.0,2024-05-30,call,1.0,5.35,6.35,100.0,4286.0,535.0,18.69
long_put,SOFI,12.5,2025-05-09,put,1.0,0.65,0.27,-38.0,4248.0,65.0,-58.46
long_call,TQQQ,82.0,2024-07-26,call,1.0,3.05,2.4,-64.99999999999999,4183.0,305.0,-21.31
short_call_spread,AAPL,"[217.5, 220.0]",2025-08-01,call,1.0,0.74,0.57,17.000000000000004,4200.0,250.0,6.8
short_put_spread,AMD,"[132.0, 130.0]",2025-07-18,put,1.0,0.54,0.42,12.000000000000005,4212.0,200.0,6.0
short_put_spread,GOOGL,"[160.0, 165.0]",2025-07-18,put,1.0,1.27,0.76,51.0,4263.0,500.0,10.2
short_put_spread,GOOGL,"[170.0, 167.5]",2025-07-18,put,1.0,0.48,0.34,13.999999999999996,4277.0,250.0,5.6
short_put_spread,HOOD,"[88.0, 87.0]",2025-07-18,put,1.0,0.32,0.13,19.0,4296.0,100.0,19.0
short_put_spread,NVDA,"[148.0, 146.0]",2025-07-18,put,1.0,0.43,0.32,10.999999999999998,4307.0,200.0,5.5
short_put_spread,SPY,"[590.0, 588.0]",2025-06-20,put,1.0,0.24,0.03,21.0,4328.0,200.0,10.5
short_put_spread,TSLA,"[302.5, 305.0]",2025-07-03,put,1.0,0.5,0.32,18.0,4346.0,250.0,7.2
