chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
MARA,2024-06-21,18.5000,put,buy,2024-06-18T17:53:38.287076Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
MARA,2024-06-21,18.5000,put,sell,2024-06-17T16:24:00.484482Z,credit,1.00000,limit,short_put,,0.38000000,1.00000
ASTS,2024-06-14,9.0000,put,sell,2024-06-12T15:10:03.335527Z,credit,2.00000,limit,short_put,,0.10000000,2.00000
MARA,2024-06-14,18.0000,put,buy,2024-06-12T13:32:34.377944Z,debit,1.00000,limit,,short_put,0.07000000,1.00000
MARA,2024-06-14,18.0000,put,sell,2024-06-10T16:25:40.556194Z,credit,1.00000,limit,short_put,,0.25000000,1.00000
ASTS,2024-06-07,8.0000,put,sell,2024-06-05T19:13:20.158623Z,credit,1.00000,limit,short_put,,0.15000000,1.00000
ASTS,2024-06-07,8.0000,put,sell,2024-06-05T19:02:59.106771Z,credit,1.00000,limit,short_put,,0.15000000,1.00000
MARA,2024-06-07,19.5000,put,buy,2024-06-04T18:01:42.663831Z,debit,1.00000,limit,,short_put,0.22000000,1.00000
MARA,2024-06-07,19.5000,put,sell,2024-05-30T17:50:02.541561Z,credit,1.00000,limit,short_put,,0.54000000,1.00000
MARA,2024-05-31,19.5000,put,buy,2024-05-30T17:43:02.423783Z,debit,1.00000,limit,,short_put,0.09000000,1.00000
MARA,2024-05-31,19.5000,put,sell,2024-05-29T18:45:20.131944Z,credit,1.00000,limit,short_put,,0.27000000,1.00000
QQQ,2024-05-30,452.0000,call,sell,2024-05-23T13:40:43.811620Z,credit,1.00000,limit,,long_call,8.00000000,1.00000
QQQ,2024-05-30,453.0000,call,sell,2024-05-22T20:03:27.570754Z,credit,1.00000,limit,,long_call,6.35000000,1.00000
QQQ,2024-05-30,453.0000,call,buy,2024-05-22T18:07:42.881324Z,debit,1.00000,limit,long_call,,5.35000000,1.00000
QQQ,2024-05-30,452.0000,call,buy,2024-05-20T18:42:58.803588Z,debit,1.00000,limit,long_call,,6.44000000,1.00000
HUT,2024-06-14,8.5000,put,buy,2024-05-20T18:24:27.403998Z,debit,1.00000,limit,,short_put,0.41000000,1.00000
HUT,2024-06-14,8.5000,put,sell,2024-05-20T15:59:15.531902Z,credit,1.00000,limit,short_put,,0.44000000,1.00000
HUT,2024-06-07,7.5000,put,buy,2024-05-16T19:02:30.185866Z,debit,1.00000,limit,,short_put,0.25000000,1.00000
HUT,2024-06-07,7.5000,put,sell,2024-05-13T15:42:22.836701Z,credit,1.00000,limit,short_put,,0.54000000,1.00000
SOFI,2024-05-03,7.0000,put,sell,2024-04-11T17:09:18.195673Z,credit,1.00000,limit,short_put,,0.36000000,1.00000
RIVN,2024-04-19,10.5000,put,buy,2024-04-08T20:09:11.607795Z,debit,1.00000,limit,,short_put,0.49000000,1.00000
RIVN,2024-04-19,10.5000,put,sell,2024-03-22T16:48:33.625150Z,credit,1.00000,limit,short_put,,0.64000000,1.00000
