Date,QQQ
2024-04-19,411.6685485839844
2024-04-22,415.8085632324219
2024-04-23,422.013671875
2024-04-24,423.44329833984375
2024-04-25,421.3981018066406
2024-04-26,427.9009704589844
2024-04-29,429.6383972167969
2024-04-30,421.53704833984375
2024-05-01,418.4891357421875
2024-05-02,423.8304748535156
2024-05-03,432.34881591796875
2024-05-06,437.0845031738281
2024-05-07,437.1539611816406
2024-05-08,436.8958435058594
2024-05-09,437.8489074707031
2024-05-10,438.8814697265625
2024-05-13,439.8941345214844
2024-05-14,442.7236022949219
2024-05-15,449.64349365234375
2024-05-16,448.7301330566406
2024-05-17,448.5116882324219
2024-05-20,451.6390686035156
2024-05-21,452.5226745605469
2024-05-22,452.4333190917969
2024-05-23,450.3980712890625
2024-05-24,454.6571960449219
2024-05-28,456.3747253417969
2024-05-29,453.1580505371094
2024-05-30,448.30322265625
2024-05-31,447.4692687988281
2024-06-03,449.8719177246094
2024-06-04,451.1029052734375
2024-06-05,460.19708251953125
2024-06-06,460.0382385253906
2024-06-07,459.63116455078125
2024-06-10,461.4877014160156
2024-06-11,464.65478515625
2024-06-12,470.74072265625
2024-06-13,473.292236328125
2024-06-14,475.7444763183594
2024-06-17,481.572265625
2024-06-18,481.72119140625
2024-06-20,478.00811767578125
2024-06-21,476.7273864746094
2024-06-24,471.29998779296875
2024-06-25,476.6895751953125
2024-06-26,477.6740417480469
2024-06-27,478.9070739746094
2024-06-28,476.42108154296875
2024-07-01,479.2153625488281
2024-07-02,484.2469787597656
2024-07-03,488.2841796875
2024-07-05,493.3754577636719
2024-07-08,494.54876708984375
2024-07-09,494.9764099121094
2024-07-10,500.1372375488281
2024-07-11,489.1691589355469
2024-07-12,492.0429382324219
2024-07-15,493.3654479980469
2024-07-16,493.55438232421875
2024-07-17,479.066162109375
2024-07-18,476.7989501953125
2024-07-19,472.5727844238281
2024-07-22,479.61309814453125
2024-07-23,477.922607421875
2024-07-24,460.7793884277344
2024-07-25,455.6980285644531
2024-07-26,460.3717041015625
2024-07-29,461.2964782714844
2024-07-30,454.96221923828125
2024-07-31,468.42620849609375
2024-08-01,457.08026123046875
2024-08-02,446.23150634765625
2024-08-05,432.9266052246094
2024-08-06,437.0632629394531
2024-08-07,432.3299255371094
2024-08-08,445.5553283691406
2024-08-09,447.8821716308594
2024-08-12,448.84674072265625
2024-08-13,459.9838562011719
2024-08-14,460.133056640625
2024-08-15,471.7574462890625
2024-08-16,472.3639831542969
2024-08-19,478.5689697265625
2024-08-20,477.5646667480469
2024-08-21,479.7920837402344
2024-08-22,472.1850280761719
2024-08-23,477.30609130859375
2024-08-26,472.6722717285156
2024-08-27,474.0843200683594
2024-08-28,468.70465087890625
2024-08-29,468.0185546875
2024-08-30,473.5970458984375
2024-09-03,459.2181701660156
2024-09-04,458.02490234375
2024-09-05,458.4525451660156
2024-09-06,446.1718444824219
2024-09-09,451.909423828125
2024-09-10,456.0859069824219
2024-09-11,465.9899597167969
2024-09-12,470.5641784667969
2024-09-13,472.6722717285156
2024-09-16,470.58404541015625
2024-09-17,470.8326721191406
2024-09-18,468.7941589355469
2024-09-19,480.6472473144531
2024-09-20,479.732421875
2024-09-23,481.0040283203125
2024-09-24,483.32421875
2024-09-25,483.7723083496094
2024-09-26,487.4069519042969
2024-09-27,484.6983947753906
2024-09-30,486.0128479003906
2024-10-01,479.2414855957031
2024-10-02,479.9186096191406
2024-10-03,479.56011962890625
2024-10-04,485.2659912109375
2024-10-07,480.0679931640625
2024-10-08,487.2376403808594
2024-10-09,491.0713806152344
2024-10-10,490.5137939453125
2024-10-11,491.2804870605469
2024-10-14,495.403076171875
2024-10-15,488.7811279296875
2024-10-16,488.8408508300781
2024-10-17,489.179443359375
2024-10-18,492.3858642578125
2024-10-21,493.3318786621094
2024-10-22,493.86956787109375
2024-10-23,486.3016052246094
2024-10-24,490.24493408203125
2024-10-25,493.2322692871094
2024-10-28,493.31195068359375
2024-10-29,498.0518798828125
2024-10-30,494.2878112792969
2024-10-31,481.81060791015625
2024-11-01,485.3755187988281
2024-11-04,483.9615173339844
2024-11-05,490.1353759765625
2024-11-06,503.44903564453125
2024-11-07,511.3753967285156
2024-11-08,511.97296142578125
2024-11-11,511.6742248535156
2024-11-12,510.74810791015625
2024-11-13,510.0909118652344
2024-11-14,506.5459289550781
2024-11-15,494.4770202636719
2024-11-18,497.9124450683594
2024-11-19,501.3379821777344
2024-11-20,501.0491943359375
2024-11-21,502.8515625
2024-11-22,503.65814208984375
2024-11-25,504.4547424316406
2024-11-26,507.1632995605469
2024-11-27,503.170166015625
2024-11-29,507.5914611816406
2024-12-02,513.1180419921875
2024-12-03,514.6914672851562
2024-12-04,521.0545043945312
2024-12-05,519.610595703125
2024-12-06,524.2609252929688
2024-12-09,520.17822265625
2024-12-10,518.4057006835938
2024-12-11,527.6864013671875
2024-12-12,524.2808837890625
2024-12-13,528.2938842773438
2024-12-16,535.901611328125
2024-12-17,533.5416259765625
2024-12-18,514.2930908203125
2024-12-19,512.0028076171875
2024-12-20,516.4738159179688
2024-12-23,521.5057373046875
2024-12-24,528.5772094726562
2024-12-26,528.2181396484375
2024-12-27,521.196533203125
2024-12-30,514.2646484375
2024-12-31,509.8961181640625
2025-01-02,508.8987121582031
2025-01-03,517.2269897460938
2025-01-06,523.1713256835938
2025-01-07,513.8358154296875
2025-01-08,513.925537109375
2025-01-10,505.86663818359375
2025-01-13,504.24090576171875
2025-01-14,503.7621154785156
2025-01-15,515.351806640625
2025-01-16,511.7413024902344
2025-01-17,520.378662109375
